log_id,camera_id,detected_at,object_class,confidence,bbox_x,bbox_y,bbox_width,bbox_height
94,4,2024-06-07 17:31:00,person,0.793,682,697,30,225
95,4,2024-06-01 13:13:00,person,0.748,1353,424,285,220
96,4,2024-06-06 14:33:00,vehicle,0.89,637,889,21,33
97,3,2024-06-03 12:06:00,person,0.928,1109,458,55,237
98,1,2024-06-03 22:02:00,vehicle,0.99,481,476,168,185
99,1,2024-06-04 05:35:00,vehicle,0.799,529,210,272,65
100,3,2024-06-04 13:56:00,person,0.99,478,701,32,257
101,3,2024-06-03 20:32:00,person,0.967,418,476,262,24
102,4,2024-06-04 00:00:00,person,0.799,1451,206,212,169
103,3,2024-06-02 00:31:00,person,0.676,812,745,242,72
104,2,2024-06-06 06:19:00,person,0.99,800,773,74,145
105,4,2024-06-05 05:57:00,vehicle,0.889,1181,251,264,214
107,2,2024-06-02 15:52:00,vehicle,0.867,26,264,279,98
108,3,2024-06-05 19:27:00,unattended_bag,0.789,356,400,215,73
109,2,2024-06-03 18:28:00,unattended_bag,0.67,552,723,60,179
110,4,2024-06-07 06:08:00,person,0.877,1299,472,145,145
111,2,2024-06-07 21:33:00,person,0.907,981,663,207,130
112,2,2024-06-05 09:04:00,vehicle,0.745,432,659,230,98
113,3,2024-06-06 02:05:00,person,0.918,1663,140,180,172
114,1,2024-06-03 18:29:00,vehicle,0.915,1657,575,217,192
115,4,2024-06-02 14:06:00,person,0.818,908,152,215,195
116,2,2024-06-04 13:20:00,person,0.814,245,969,293,140
117,1,2024-06-04 04:15:00,vehicle,0.99,1196,227,27,26
119,3,2024-06-03 14:32:00,unattended_bag,0.754,1422,445,240,217
120,3,2024-06-07 00:40:00,person,0.858,287,531,282,238
121,1,2024-06-07 09:29:00,vehicle,0.924,1111,298,282,128
122,1,2024-06-01 09:01:00,person,0.856,232,328,38,52
123,2,2024-06-07 01:50:00,person,0.932,912,260,80,238
124,1,2024-06-06 09:15:00,person,0.678,1404,930,44,247
125,4,2024-06-05 06:39:00,vehicle,0.727,1157,98,260,256
126,4,2024-06-03 00:31:00,vehicle,0.841,970,306,261,23
127,2,2024-06-01 22:02:00,vehicle,0.766,765,333,151,115
128,4,2024-06-04 00:29:00,person,0.753,1154,153,74,210
129,4,2024-06-02 20:35:00,vehicle,0.731,457,546,114,70
130,4,2024-06-07 03:56:00,unattended_bag,0.809,1783,232,135,292
131,2,2024-06-03 18:14:00,vehicle,0.772,1641,836,91,262
132,3,2024-06-02 21:06:00,vehicle,0.863,1096,826,233,103
133,2,2024-06-03 02:47:00,vehicle,0.878,1575,126,218,274
134,4,2024-06-04 13:14:00,person,0.637,1055,600,286,172
135,4,2024-06-04 06:06:00,person,0.661,491,186,179,244
136,1,2024-06-02 04:26:00,vehicle,0.86,195,853,92,48
137,3,2024-06-04 01:23:00,person,0.824,78,489,290,193
138,2,2024-06-03 03:17:00,unattended_bag,0.977,1011,586,243,167
139,3,2024-06-02 08:38:00,vehicle,0.885,1018,57,143,218
140,1,2024-06-03 23:50:00,person,0.916,1083,885,192,175
141,3,2024-06-02 11:25:00,person,0.8,1750,601,192,252
142,4,2024-06-07 12:15:00,unattended_bag,0.696,1242,172,63,107
143,4,2024-06-05 07:56:00,vehicle,0.872,1702,939,32,43
144,3,2024-06-02 06:20:00,person,0.833,1068,373,242,106
145,1,2024-06-07 02:05:00,person,0.662,367,979,74,190
146,4,2024-06-06 04:53:00,unattended_bag,0.974,564,189,184,266
147,4,2024-06-02 04:49:00,person,0.99,1322,373,292,154
148,3,2024-06-01 13:04:00,person,0.932,812,231,38,238
149,3,2024-06-01 04:16:00,person,0.739,1269,735,170,259
150,3,2024-06-02 06:24:00,vehicle,0.99,945,515,267,116
151,3,2024-06-04 06:39:00,person,0.58,523,221,83,114
152,1,2024-06-05 12:24:00,person,0.856,358,611,25,265
153,4,2024-06-03 21:32:00,person,0.714,1690,384,245,166
154,2,2024-06-03 19:36:00,person,0.505,1654,256,255,34
155,2,2024-06-07 18:17:00,person,0.859,1051,772,269,93
156,4,2024-06-07 11:47:00,vehicle,0.804,951,631,174,212
157,3,2024-06-01 03:11:00,vehicle,0.746,628,536,260,187
158,2,2024-06-07 10:18:00,vehicle,0.815,1554,456,130,69
159,2,2024-06-07 13:22:00,person,0.99,119,226,136,197
160,3,2024-06-02 07:12:00,person,0.74,524,160,24,103
161,2,2024-06-03 20:38:00,vehicle,0.872,1606,713,51,39
162,3,2024-06-01 18:09:00,person,0.928,1559,195,31,31
163,3,2024-06-04 20:29:00,person,0.823,900,113,121,39
164,3,2024-06-03 13:31:00,person,0.915,450,394,81,157
165,3,2024-06-03 17:35:00,person,0.99,785,567,142,121
166,3,2024-06-06 07:17:00,person,0.801,583,867,261,142
167,3,2024-06-02 03:51:00,person,0.99,329,608,180,140
168,4,2024-06-06 01:42:00,person,0.824,417,881,222,83
169,3,2024-06-05 02:58:00,person,0.807,539,649,295,177
170,2,2024-06-07 10:52:00,person,0.788,573,425,51,151
171,4,2024-06-04 04:09:00,vehicle,0.78,858,877,293,81
172,2,2024-06-03 12:04:00,vehicle,0.622,1258,476,224,179
173,4,2024-06-04 05:01:00,person,0.836,597,462,94,206
174,2,2024-06-01 01:10:00,person,0.758,1451,502,84,169
175,2,2024-06-03 15:31:00,person,0.778,68,970,126,128
176,4,2024-06-06 10:44:00,person,0.964,482,621,249,264
177,1,2024-06-06 18:36:00,person,0.767,378,599,76,249
178,3,2024-06-07 19:09:00,person,0.659,1718,397,294,162
179,2,2024-06-01 06:03:00,person,0.865,18,655,188,77
180,2,2024-06-06 08:57:00,vehicle,0.745,703,810,41,187
181,1,2024-06-06 21:09:00,person,0.824,814,786,188,98
182,2,2024-06-04 12:36:00,person,0.705,1454,424,259,123
183,1,2024-06-01 01:21:00,person,0.99,1087,987,215,179
184,2,2024-06-05 07:20:00,person,0.81,961,931,272,41
185,3,2024-06-03 02:22:00,vehicle,0.719,666,426,79,188
186,3,2024-06-07 08:36:00,vehicle,0.752,1561,730,142,183
187,1,2024-06-06 03:56:00,person,0.562,434,636,299,50
188,2,2024-06-03 12:09:00,person,0.863,1713,273,216,262
189,4,2024-06-02 21:48:00,vehicle,0.766,1529,814,278,210
190,3,2024-06-05 08:29:00,person,0.916,119,702,123,65
191,3,2024-06-06 07:59:00,person,0.612,1597,647,231,98
192,2,2024-06-03 17:18:00,vehicle,0.703,56,727,75,44
193,1,2024-06-01 16:34:00,person,0.483,1316,584,116,221
194,2,2024-06-02 23:48:00,person,0.956,1059,711,255,129
195,4,2024-06-05 01:03:00,person,0.896,97,5,91,160
196,3,2024-06-03 07:51:00,person,0.99,153,731,197,45
198,4,2024-06-01 18:55:00,vehicle,0.735,38,352,234,136
199,3,2024-06-03 12:45:00,vehicle,0.945,1343,834,48,134
201,2,2024-06-02 21:07:00,person,0.731,1310,706,253,239
202,2,2024-06-03 08:36:00,person,0.817,856,672,74,129
203,1,2024-06-04 22:31:00,person,0.715,708,803,151,70
204,3,2024-06-05 12:05:00,person,0.969,651,876,30,259
205,3,2024-06-02 17:41:00,person,0.99,544,661,142,211
207,3,2024-06-02 11:01:00,vehicle,0.773,370,690,71,212
208,1,2024-06-05 22:17:00,unattended_bag,0.922,164,354,109,69
209,1,2024-06-01 03:42:00,person,0.945,753,602,42,56
210,2,2024-06-07 04:49:00,person,0.661,1455,298,125,173
211,4,2024-06-07 05:41:00,person,0.914,645,695,167,184
212,1,2024-06-07 13:42:00,person,0.797,1387,845,197,181
213,4,2024-06-03 02:46:00,vehicle,0.867,473,789,137,62
214,2,2024-06-06 22:38:00,person,0.887,1794,531,91,25
215,3,2024-06-06 06:56:00,unattended_bag,0.871,477,168,91,155
216,1,2024-06-01 18:32:00,unattended_bag,0.701,255,574,289,253
217,4,2024-06-01 08:47:00,person,0.763,1049,957,215,213
218,3,2024-06-01 03:55:00,person,0.91,621,780,223,175
219,4,2024-06-03 11:21:00,unattended_bag,0.958,1786,85,122,63
220,3,2024-06-07 12:44:00,person,0.938,917,897,285,258
221,4,2024-06-04 04:11:00,person,0.76,612,680,181,194
222,3,2024-06-04 12:40:00,person,0.942,346,853,32,105
223,1,2024-06-07 23:32:00,person,0.747,66,906,248,133
224,2,2024-06-04 07:22:00,vehicle,0.669,1553,648,223,113
225,4,2024-06-04 00:31:00,person,0.868,36,482,206,239
226,2,2024-06-07 11:49:00,vehicle,0.72,1009,625,290,84
227,2,2024-06-01 06:28:00,person,0.602,86,262,32,220
229,1,2024-06-07 05:00:00,person,0.863,92,6,32,188
230,3,2024-06-02 14:17:00,person,0.949,769,745,93,59
232,4,2024-06-06 23:47:00,person,0.788,946,502,40,149
233,2,2024-06-07 09:27:00,person,0.848,1348,228,210,80
234,1,2024-06-03 12:27:00,person,0.9,25,634,197,222
235,3,2024-06-05 16:59:00,person,0.615,528,93,195,255
236,3,2024-06-07 00:16:00,person,0.758,733,631,49,119
237,4,2024-06-06 03:40:00,person,0.755,463,901,249,42
238,3,2024-06-02 12:49:00,person,0.741,1212,615,299,165
239,4,2024-06-07 03:11:00,vehicle,0.845,519,123,273,105
240,3,2024-06-06 18:45:00,vehicle,0.804,245,422,169,99
241,3,2024-06-04 09:52:00,person,0.892,898,572,175,176
242,4,2024-06-06 03:25:00,person,0.78,1428,34,235,237
243,3,2024-06-01 12:33:00,person,0.693,1697,448,172,95
244,2,2024-06-04 04:33:00,person,0.99,1178,103,248,223
245,2,2024-06-06 05:16:00,vehicle,0.513,1410,550,117,61
246,4,2024-06-04 14:05:00,person,0.89,763,387,95,103
247,4,2024-06-07 10:21:00,person,0.785,501,643,297,70
248,4,2024-06-07 06:14:00,person,0.953,701,521,58,41
249,2,2024-06-03 23:18:00,person,0.911,491,886,215,57
250,1,2024-06-04 08:08:00,person,0.823,1267,718,98,288
251,4,2024-06-04 20:55:00,person,0.82,712,288,70,286
252,4,2024-06-03 16:03:00,person,0.69,249,801,22,76
253,2,2024-06-07 19:52:00,person,0.866,837,222,270,168
254,1,2024-06-03 09:45:00,person,0.915,705,420,281,203
255,4,2024-06-04 15:19:00,vehicle,0.939,674,394,190,77
256,2,2024-06-03 23:24:00,person,0.754,714,832,151,206
257,4,2024-06-02 16:00:00,person,0.859,1158,37,34,225
258,1,2024-06-05 22:17:00,person,0.487,1652,809,108,220
259,4,2024-06-01 21:35:00,vehicle,0.75,1499,743,259,25
260,1,2024-06-02 22:43:00,person,0.672,687,576,139,204
261,2,2024-06-07 13:35:00,person,0.738,151,114,286,226
262,2,2024-06-03 06:11:00,person,0.821,136,707,271,75
263,4,2024-06-06 10:29:00,person,0.491,1736,836,87,111
264,1,2024-06-06 02:36:00,person,0.812,1425,518,275,268
265,4,2024-06-04 10:51:00,person,0.824,825,955,104,152
266,3,2024-06-03 07:17:00,person,0.749,1259,811,130,27
267,1,2024-06-05 09:22:00,vehicle,0.857,1100,25,44,149
268,2,2024-06-01 10:37:00,person,0.733,320,657,181,179
269,1,2024-06-06 01:49:00,person,0.959,638,382,279,26
270,3,2024-06-04 04:13:00,person,0.801,1773,184,55,38
271,2,2024-06-06 04:35:00,person,0.735,950,723,207,27
272,4,2024-06-07 16:41:00,person,0.881,492,840,182,264
273,3,2024-06-01 18:39:00,person,0.873,1389,542,159,50
274,4,2024-06-01 22:50:00,person,0.908,1337,187,254,249
275,1,2024-06-01 19:31:00,person,0.783,1667,865,79,261
276,1,2024-06-04 10:52:00,person,0.862,1740,617,53,295
277,2,2024-06-07 20:29:00,person,0.721,308,913,262,84
278,4,2024-06-02 05:44:00,person,0.838,1783,169,168,174
279,1,2024-06-07 21:12:00,person,0.839,108,378,272,282
280,4,2024-06-06 15:48:00,person,0.671,1324,715,257,35
282,3,2024-06-06 18:14:00,person,0.914,741,910,209,81
283,2,2024-06-07 04:19:00,person,0.615,864,267,257,153
284,2,2024-06-04 07:32:00,vehicle,0.99,929,189,94,222
285,3,2024-06-05 06:57:00,vehicle,0.955,1758,790,50,229
286,3,2024-06-07 03:26:00,unattended_bag,0.747,636,97,159,185
287,2,2024-06-02 10:46:00,person,0.806,1355,474,222,51
288,1,2024-06-03 19:22:00,person,0.718,279,871,124,147
289,2,2024-06-06 04:14:00,person,0.99,598,764,129,123
290,2,2024-06-06 17:25:00,person,0.952,1618,315,135,76
291,3,2024-06-07 09:45:00,person,0.891,554,770,282,120
292,4,2024-06-02 23:29:00,vehicle,0.811,409,757,278,36
293,4,2024-06-03 16:11:00,person,0.844,1019,294,243,63
294,3,2024-06-07 07:13:00,vehicle,0.742,368,901,94,237
295,3,2024-06-03 12:46:00,person,0.99,902,146,147,153
296,4,2024-06-05 04:19:00,vehicle,0.843,560,769,45,69
297,4,2024-06-05 07:52:00,person,0.875,375,954,252,157
298,2,2024-06-01 00:33:00,person,0.99,937,542,194,285
299,4,2024-06-03 17:49:00,person,0.923,1252,173,252,160
300,4,2024-06-04 18:23:00,person,0.693,798,968,22,221
301,1,2024-06-06 08:56:00,vehicle,0.628,303,34,283,27
302,1,2024-06-03 04:00:00,person,0.824,470,399,132,98
303,2,2024-06-05 11:36:00,vehicle,0.955,1782,62,135,293
304,3,2024-06-03 11:36:00,person,0.86,1302,40,91,30
305,3,2024-06-05 10:21:00,vehicle,0.803,1258,47,138,127
306,4,2024-06-07 00:15:00,person,0.696,509,317,31,253
307,1,2024-06-05 02:32:00,vehicle,0.99,1399,188,224,156
309,3,2024-06-07 12:21:00,person,0.694,219,293,211,264
310,1,2024-06-01 19:36:00,person,0.715,1188,832,91,190
311,2,2024-06-02 19:58:00,person,0.758,643,861,27,179
312,3,2024-06-04 02:19:00,person,0.755,1637,443,253,28
313,4,2024-06-01 17:59:00,person,0.854,837,348,237,85
314,4,2024-06-05 22:15:00,person,0.881,487,732,58,88
315,4,2024-06-02 18:19:00,person,0.699,1109,722,249,208
316,3,2024-06-02 16:18:00,person,0.787,824,422,136,104
317,3,2024-06-03 02:23:00,vehicle,0.708,1345,350,292,239
318,2,2024-06-06 11:52:00,person,0.881,932,144,148,228
319,4,2024-06-06 07:15:00,person,0.931,526,674,188,263
320,1,2024-06-04 02:58:00,person,0.712,1484,134,29,289
321,3,2024-06-02 15:12:00,vehicle,0.763,1517,217,149,212
322,3,2024-06-02 12:12:00,vehicle,0.871,1581,507,162,22
323,2,2024-06-05 16:41:00,person,0.871,1585,836,39,264
324,2,2024-06-01 11:04:00,person,0.588,330,846,75,20
326,1,2024-06-02 11:23:00,person,0.736,1283,623,283,118
327,4,2024-06-04 12:16:00,person,0.816,287,575,223,187
328,1,2024-06-05 02:01:00,unattended_bag,0.77,1718,478,162,204
329,2,2024-06-01 14:28:00,vehicle,0.856,729,736,139,105
330,3,2024-06-01 16:57:00,person,0.871,1571,479,265,166
331,4,2024-06-04 19:53:00,person,0.864,975,906,232,263
332,1,2024-06-01 23:05:00,person,0.739,681,742,247,21
333,4,2024-06-04 05:56:00,vehicle,0.763,762,319,288,120
334,1,2024-06-02 03:29:00,person,0.866,512,343,191,173
335,4,2024-06-01 09:41:00,person,0.804,1134,906,189,176
336,2,2024-06-05 22:46:00,person,0.869,1426,160,207,28
337,4,2024-06-06 17:32:00,vehicle,0.985,1150,584,30,224
338,4,2024-06-03 15:08:00,vehicle,0.647,144,253,145,50
339,4,2024-06-07 14:45:00,person,0.669,1472,14,92,217
340,2,2024-06-02 22:55:00,person,0.936,51,572,245,30
342,4,2024-06-02 14:22:00,person,0.847,105,818,258,52
343,3,2024-06-05 05:12:00,person,0.707,502,71,152,103
344,3,2024-06-03 18:54:00,vehicle,0.854,1761,976,79,102
346,1,2024-06-02 18:10:00,vehicle,0.911,331,89,242,259
347,2,2024-06-03 16:22:00,person,0.65,1075,796,296,286
348,1,2024-06-03 00:32:00,person,0.763,779,730,295,266
349,1,2024-06-02 17:17:00,person,0.807,1092,198,62,158
350,4,2024-06-01 23:03:00,person,0.924,1625,666,79,82
352,1,2024-06-06 04:12:00,person,0.872,123,750,59,103
353,2,2024-06-01 20:24:00,vehicle,0.935,1069,308,230,40
354,3,2024-06-07 15:09:00,person,0.777,1257,594,163,46
355,3,2024-06-01 04:00:00,person,0.745,66,241,299,22
356,2,2024-06-04 08:50:00,person,0.977,258,355,26,221
357,1,2024-06-07 22:17:00,person,0.626,1776,835,183,100
358,2,2024-06-03 07:54:00,person,0.774,202,469,30,241
359,4,2024-06-04 15:44:00,vehicle,0.756,1727,426,296,286
360,2,2024-06-02 19:20:00,person,0.732,1171,811,53,179
361,3,2024-06-06 15:03:00,person,0.826,1675,60,239,157
362,2,2024-06-06 06:49:00,vehicle,0.7,587,13,127,231
363,2,2024-06-05 22:31:00,vehicle,0.893,1092,339,247,119
364,4,2024-06-07 02:53:00,vehicle,0.867,482,393,120,106
365,4,2024-06-05 14:32:00,person,0.914,606,271,221,142
366,3,2024-06-06 23:49:00,vehicle,0.808,1777,142,296,91
367,4,2024-06-03 22:57:00,person,0.817,1596,143,189,68
368,4,2024-06-02 18:59:00,vehicle,0.663,560,196,94,145
369,4,2024-06-07 16:37:00,person,0.797,1667,776,42,94
370,4,2024-06-04 14:42:00,person,0.8,1488,507,152,261
371,2,2024-06-06 10:22:00,person,0.752,1127,629,24,244
372,4,2024-06-02 11:21:00,person,0.832,775,974,292,185
373,3,2024-06-01 03:16:00,vehicle,0.794,1069,133,116,217
374,3,2024-06-05 10:35:00,person,0.762,758,991,284,109
375,3,2024-06-05 12:24:00,person,0.808,46,319,77,104
376,1,2024-06-01 06:07:00,person,0.824,1528,493,103,81
377,2,2024-06-06 09:13:00,person,0.879,1532,783,113,133
378,2,2024-06-03 23:17:00,person,0.693,1407,975,35,122
379,3,2024-06-07 12:01:00,person,0.894,221,797,140,192
380,3,2024-06-01 09:55:00,vehicle,0.824,1193,271,145,30
381,4,2024-06-04 04:44:00,vehicle,0.755,1773,997,247,58
383,4,2024-06-04 15:42:00,vehicle,0.768,1361,364,103,48
385,1,2024-06-07 17:53:00,person,0.798,1168,205,72,53
386,1,2024-06-07 01:00:00,person,0.785,599,877,179,55
387,2,2024-06-05 08:16:00,person,0.779,22,548,284,26
388,3,2024-06-03 18:02:00,person,0.99,117,266,203,286
389,1,2024-06-04 23:43:00,person,0.959,1407,797,31,149
390,3,2024-06-05 17:33:00,person,0.962,155,123,82,281
391,1,2024-06-05 10:59:00,person,0.899,956,807,113,202
392,3,2024-06-04 01:13:00,person,0.722,1042,853,97,240
393,4,2024-06-03 05:42:00,vehicle,0.867,123,619,25,244
394,4,2024-06-02 07:05:00,person,0.99,1355,422,218,198
395,3,2024-06-04 04:31:00,vehicle,0.832,1583,632,40,103
396,2,2024-06-06 06:26:00,vehicle,0.84,190,384,27,71
397,3,2024-06-02 20:11:00,person,0.739,740,528,132,175
398,4,2024-06-03 11:23:00,person,0.99,314,399,144,277
399,3,2024-06-04 04:27:00,person,0.659,440,913,131,132
400,1,2024-06-02 14:35:00,person,0.586,1642,890,138,210
401,3,2024-06-03 22:41:00,person,0.931,1091,930,145,226
402,4,2024-06-04 03:36:00,person,0.924,476,875,188,115
404,1,2024-06-07 03:29:00,vehicle,0.856,177,95,61,25
405,1,2024-06-06 01:13:00,vehicle,0.824,1300,125,82,241
406,3,2024-06-04 04:04:00,person,0.864,440,26,285,222
407,1,2024-06-06 18:33:00,person,0.706,628,584,284,103
408,3,2024-06-05 07:01:00,vehicle,0.883,783,496,171,116
410,4,2024-06-01 17:48:00,vehicle,0.797,678,792,274,77
411,1,2024-06-06 07:26:00,person,0.798,918,173,49,29
412,4,2024-06-03 19:43:00,person,0.754,351,597,235,166
413,2,2024-06-06 17:22:00,vehicle,0.734,1264,128,32,187
414,3,2024-06-03 12:31:00,person,0.877,1649,999,251,109
415,4,2024-06-03 14:50:00,vehicle,0.807,936,291,22,29
416,3,2024-06-06 15:45:00,vehicle,0.884,449,615,226,81
417,3,2024-06-07 02:01:00,vehicle,0.902,609,39,50,82
418,4,2024-06-04 17:24:00,person,0.825,532,317,201,104
421,1,2024-06-07 12:32:00,vehicle,0.809,577,197,213,229
422,2,2024-06-01 07:30:00,person,0.927,83,908,248,66
423,3,2024-06-01 12:19:00,person,0.747,7,987,59,266
424,4,2024-06-05 08:18:00,person,0.777,1301,172,110,42
425,4,2024-06-02 20:06:00,person,0.66,1245,24,34,199
426,1,2024-06-04 12:27:00,vehicle,0.97,1590,358,242,200
428,2,2024-06-04 13:26:00,vehicle,0.879,1259,350,143,157
429,3,2024-06-01 17:04:00,person,0.99,1098,432,107,173
430,1,2024-06-04 21:30:00,person,0.908,1063,545,43,211
431,3,2024-06-04 16:12:00,person,0.773,1441,65,78,208
432,2,2024-06-01 00:23:00,person,0.907,388,938,43,210
433,1,2024-06-01 05:00:00,person,0.824,834,515,74,242
434,2,2024-06-02 23:59:00,vehicle,0.891,1740,488,68,224
435,2,2024-06-06 00:45:00,vehicle,0.957,1120,192,174,163
436,3,2024-06-04 09:40:00,person,0.655,1109,863,100,175
437,2,2024-06-01 23:11:00,vehicle,0.701,496,703,91,246
438,2,2024-06-04 18:42:00,person,0.728,1492,727,44,296
439,3,2024-06-06 00:51:00,person,0.99,740,258,102,58
440,1,2024-06-04 16:27:00,person,0.99,480,925,223,201
441,2,2024-06-05 06:12:00,person,0.788,91,132,109,90
442,1,2024-06-05 22:31:00,person,0.723,964,291,287,150
443,3,2024-06-04 01:46:00,person,0.874,781,624,208,235
444,4,2024-06-03 07:22:00,person,0.853,916,794,45,169
445,3,2024-06-01 05:26:00,vehicle,0.99,209,990,273,178
446,3,2024-06-07 23:48:00,person,0.917,1705,82,213,205
448,4,2024-06-03 08:59:00,unattended_bag,0.763,196,234,188,123
449,2,2024-06-01 19:11:00,vehicle,0.883,344,665,205,286
450,4,2024-06-03 15:54:00,person,0.732,1185,130,112,21
451,1,2024-06-05 06:11:00,person,0.764,708,126,230,52
452,2,2024-06-04 17:34:00,person,0.888,1192,606,168,84
453,3,2024-06-03 03:26:00,vehicle,0.949,257,488,121,228
454,4,2024-06-07 05:30:00,vehicle,0.852,158,45,214,202
